2026-02-15T12:12:07.212529 | USER: demo_user | OPERATION: store_wellness | SUCCESS: True
2026-02-15T12:12:58.115450 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:12:58.116467 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: True
2026-02-15T12:12:58.116467 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:12:58.117482 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: True
2026-02-15T12:12:58.117966 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:12:58.118630 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: True
2026-02-15T12:12:58.120368 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:12:58.120368 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: True
2026-02-15T12:12:58.121394 | USER: demo_user | OPERATION: export_fhir | SUCCESS: True
2026-02-15T12:15:21.269761 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:21.270769 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:21.271554 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:21.271554 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:21.273010 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:21.273010 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:21.274037 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:21.275169 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:21.275169 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:21.275169 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:21.276346 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:21.277562 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:26.634116 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:26.635187 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:26.635187 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:26.635187 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:26.635187 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:26.639000 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:26.639000 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:26.640107 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:26.641104 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:26.641104 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:26.642584 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:15:26.643849 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:21:25.981027 | USER: demo_user | OPERATION: store_wellness | SUCCESS: True
2026-02-15T12:22:12.846687 | USER: demo_user | OPERATION: store_wellness | SUCCESS: True
2026-02-15T12:22:57.798440 | USER: demo_user | OPERATION: store_wellness | SUCCESS: True
2026-02-15T12:23:03.555727 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:23:03.555727 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:23:03.555727 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:23:03.555727 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:23:03.581292 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: True
2026-02-15T12:23:03.581292 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:23:03.581292 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:23:03.581292 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:23:03.581292 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:23:03.581292 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:23:03.581292 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:23:03.605387 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: True
2026-02-15T12:23:03.607187 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:23:03.607187 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: False
2026-02-15T12:23:03.615052 | USER: demo_user | OPERATION: retrieve_wellness | SUCCESS: True
